Station Name,District,Longitude,Unnamed: 4,Unnamed: 5,Latitude ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,Unnamed: 68,Unnamed: 69
SHERGARH,BANSWARA,23020' N,23.0,20.0,74010' E,74.0,10.0,23.22222222222222,74.11111111111111,1394.0,969.0,569.0,630.0,645.0,1343.0,1420.0,828.0,1030.0,632.0,502.0,372.0,585.0,804.0,1097.0,914.0,1443.0,0.0,1767.9,657.0,547.0,537.0,679.0,410.0,877.0,548.8,805.0,,,,743.0,0.0,841.4,543.0,1216.0,1310.0,1235.0,951.0,653.5,1771.2,491.4,699.5,720.9,747.2,829.3,1028.7,0.0,483.4,418.0,911.3,897.5,0.0,310.1,310.1,686.2,669.2,,
ANTAH,BARAN,250 09' N,25.0,9.0,760 18' E,76.0,18.0,25.1,76.2,699.0,1412.0,583.0,848.0,960.0,560.8,1278.2,1029.2,932.0,776.0,365.0,977.0,831.0,1291.0,813.0,1117.0,1372.0,858.0,1141.0,625.0,585.8,849.7,0.0,0.0,0.0,0.0,1444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATRU,BARAN,240 52' N,24.0,52.0,760 40' E,76.0,40.0,24.57777777777778,76.44444444444444,764.0,1627.4,668.0,986.0,808.0,837.0,752.0,610.0,881.0,768.0,237.5,1029.0,641.2,810.4,836.6,1050.2,1079.4,879.6,1114.0,728.3,693.6,804.4,0.0,0.0,0.0,0.0,978.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHABRA,BARAN,240 40' N,24.0,40.0,760 51' E,76.0,51.0,24.444444444444443,76.56666666666666,755.0,1499.0,562.0,730.0,950.0,750.0,887.0,863.0,994.0,994.0,440.5,751.0,928.0,869.0,956.8,1116.0,1277.0,1135.0,1125.0,1216.1,720.8,943.6,0.0,0.0,0.0,0.0,1098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHIPABAROD,BARAN,240 37' N,24.0,37.0,760 47' E,76.0,47.0,24.41111111111111,76.52222222222223,703.0,1940.0,688.0,928.0,104.0,803.0,749.0,893.0,922.0,785.8,314.0,767.0,967.0,1081.0,898.0,1131.0,1072.0,994.5,1005.0,1000.0,597.0,1074.5,0.0,0.0,0.0,0.0,1096.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARAN,BARAN,250 07' N,25.0,7.0,760 31' E,76.0,31.0,25.07777777777778,76.34444444444445,743.0,1507.0,614.0,650.0,665.0,600.0,925.4,923.5,715.0,571.0,254.0,868.0,860.0,782.0,645.0,691.0,797.0,723.0,989.6,631.0,605.4,1046.8,0.0,0.0,0.0,0.0,1277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISHANGANJ,BARAN,250 06' N,25.0,6.0,760 39' E,76.0,39.0,25.066666666666666,76.43333333333334,690.0,1447.0,602.0,634.0,854.0,697.0,589.0,790.4,570.0,590.0,283.6,1027.4,688.8,993.4,758.2,,1070.0,898.5,1154.6,627.8,833.0,1208.0,0.0,0.0,0.0,0.0,812.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGROL,BARAN,250 20' N,25.0,20.0,760 31' E,76.0,31.0,25.22222222222222,76.34444444444445,734.0,1418.0,608.0,502.0,1051.0,481.0,732.0,760.0,817.0,502.0,350.0,879.0,661.0,859.0,652.0,,966.0,871.0,861.0,691.0,675.0,968.0,0.0,0.0,0.0,0.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAHBAD,BARAN,250 15' N,25.0,15.0,770 08' E,77.0,8.0,25.166666666666668,77.08888888888889,931.0,1357.0,574.5,549.0,944.0,607.0,620.0,795.0,530.0,731.0,333.0,809.0,838.0,646.0,881.0,,1132.0,994.0,1251.0,1109.0,1115.0,864.0,0.0,0.0,0.0,0.0,898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARMER,BARMER,25045' N,25.0,45.0,71024' E,71.0,24.0,25.5,71.26666666666667,258.0,343.0,433.5,167.0,207.0,255.0,759.0,140.0,220.0,475.0,126.0,264.0,222.0,172.0,325.0,365.0,225.0,179.0,608.0,386.0,413.0,49.0,748.2,266.2,170.0,101.2,97.8,249.0,245.8,310.3,192.6,212.4,89.0,205.7,336.2,145.8,509.8,518.4,50.0,498.9,113.8,157.0,163.7,63.5,37.1,235.2,0.0,308.7,284.4,193.6,168.2,535.6,258.6,258.6,192.2,204.9,,
CHOHTAN,BARMER,25029' N,25.0,29.0,71004' E,71.0,4.0,25.322222222222223,71.04444444444445,203.0,605.0,560.0,240.0,294.0,181.0,875.0,200.0,182.0,474.0,72.0,467.0,254.0,251.0,575.0,344.0,285.8,313.0,619.0,285.0,498.2,94.5,761.1,237.5,319.5,40.3,153.0,146.0,246.4,249.5,317.4,158.4,212.9,257.5,231.0,273.0,437.0,536.6,112.0,492.5,165.5,161.0,154.0,36.4,39.5,334.8,0.0,126.9,365.8,123.0,135.6,645.4,203.5,203.5,156.1,137.7,,
PACHPADRA,BARMER,25056' N,25.0,56.0,72016' E,72.0,16.0,25.622222222222224,72.17777777777778,189.0,359.0,501.0,156.0,424.0,294.0,547.0,266.0,291.0,506.0,167.0,236.0,225.5,249.0,339.0,382.0,216.0,401.0,430.0,231.0,430.0,144.0,428.0,148.3,141.0,128.0,84.0,95.4,123.3,317.7,232.0,200.0,144.0,409.0,237.4,203.0,339.0,589.6,79.0,230.4,112.0,204.9,311.3,37.0,47.4,276.8,0.0,168.6,188.5,73.5,71.9,404.1,162.7,162.7,159.4,130.7,,
SHEO,BARMER,26011' N,26.0,11.0,71015' E,71.0,15.0,26.122222222222224,71.16666666666667,216.0,310.0,428.0,210.0,191.0,275.0,478.0,176.0,187.0,267.0,81.0,325.0,356.0,223.0,225.0,265.0,290.0,331.0,354.0,396.0,333.0,171.0,174.0,268.4,96.0,40.0,98.0,104.0,112.0,164.0,148.4,114.0,150.0,171.0,303.0,179.0,303.4,329.8,90.0,429.7,199.1,205.0,139.8,70.5,30.8,275.2,0.0,157.4,285.3,178.5,117.2,525.1,201.1,201.1,146.7,145.5,,
SIWANA,BARMER,25029' N,25.0,29.0,72025' E,72.0,25.0,25.322222222222223,72.27777777777777,288.0,305.0,722.0,201.0,418.0,288.0,503.0,223.0,262.0,609.0,107.0,271.0,249.0,288.0,450.0,543.0,346.0,274.0,408.0,443.1,555.6,179.4,1052.0,304.0,132.0,110.0,140.0,174.0,224.1,446.3,387.0,246.4,258.7,402.6,309.0,423.9,284.1,743.7,151.0,785.2,238.6,248.1,563.3,34.3,97.0,460.0,0.0,228.0,343.5,221.1,360.1,904.3,253.8,253.8,271.2,381.5,,
BAYANA,BHARATPUR,26054' N,26.0,54.0,77017' E,77.0,17.0,26.6,77.18888888888888,841.0,947.0,733.0,635.0,1059.0,421.0,515.0,630.0,448.0,649.0,302.0,449.0,304.0,769.0,848.0,705.0,1026.0,1314.0,785.0,566.0,693.0,385.0,737.0,511.0,587.0,458.0,,712.0,576.0,926.8,1017.6,511.8,520.6,249.0,249.0,1050.1,824.4,838.0,551.1,519.2,866.5,893.3,508.5,717.1,613.8,1113.7,,631.3,743.5,541.2,631.6,627.5,530.5,530.5,1253.9,747.0,,
BHARATPUR,BHARATPUR,27013' N,27.0,13.0,77030' E,77.0,30.0,27.144444444444446,77.33333333333333,832.0,743.0,754.0,643.0,786.0,539.0,373.5,1041.0,608.0,801.0,465.0,646.0,369.0,786.0,951.8,645.8,841.0,837.4,654.2,558.2,736.3,447.4,621.3,547.8,572.7,363.6,376.8,662.8,443.5,886.4,788.4,356.6,638.3,218.5,218.5,833.2,775.7,700.5,621.0,681.5,576.6,830.6,734.2,490.5,691.9,813.6,,565.0,603.5,642.2,469.3,632.3,708.2,708.2,988.5,890.7,,
DEEG,BHARATPUR,27028' N,27.0,28.0,77020' E,77.0,20.0,27.31111111111111,77.22222222222223,713.0,835.0,927.0,627.0,739.0,494.0,440.0,619.0,395.0,898.0,583.0,799.0,333.0,717.0,820.0,552.0,1167.0,777.0,511.0,451.0,336.0,436.0,512.0,456.0,359.0,224.0,102.5,388.0,460.0,729.0,403.0,416.0,390.5,330.1,690.1,941.2,907.3,908.1,610.7,451.6,416.8,639.2,614.5,544.9,489.6,113.6,,787.0,610.2,548.7,753.1,9545.2,548.6,548.6,912.1,569.5,,
KAMAN,BHARATPUR,27039' N,27.0,39.0,77016' E,77.0,16.0,27.433333333333334,77.17777777777778,569.0,559.0,1022.0,592.0,793.0,604.0,378.0,639.0,528.0,995.0,483.0,578.0,445.0,739.0,723.0,676.2,1219.2,739.0,463.0,610.8,660.2,607.4,763.6,420.4,384.4,207.0,368.0,409.0,769.0,703.5,565.6,560.9,662.4,294.0,294.0,115.2,852.0,791.0,526.5,466.6,406.1,681.0,521.1,506.6,549.8,815.0,,597.2,665.7,777.2,791.0,967.3,709.0,709.0,957.6,754.3,,
KUMBHER,BHARATPUR,27019' N,27.0,19.0,77022' E,77.0,22.0,27.211111111111112,77.24444444444444,730.0,986.0,770.0,825.0,746.0,414.0,266.0,491.0,516.0,555.0,355.0,578.0,353.0,569.0,724.0,581.5,730.0,643.0,476.0,426.0,634.0,514.0,586.0,596.6,640.2,400.2,306.8,319.8,482.8,755.8,570.1,291.2,529.0,152.5,470.5,823.0,915.0,784.0,628.0,435.0,484.2,717.0,575.9,674.9,475.9,873.0,,,,,,,,,,,,
NADBAI,BHARATPUR,27013' N,27.0,13.0,77011'E,77.0,11.0,27.144444444444446,77.12222222222222,971.0,774.0,761.0,574.0,840.0,482.0,411.0,830.0,651.0,685.0,375.0,61.0,256.0,587.0,781.0,631.0,1014.0,1006.0,600.0,621.0,824.0,555.0,1036.0,648.0,675.0,470.0,652.0,1081.0,1299.0,1047.9,1314.2,623.5,783.3,144.9,144.9,823.8,696.6,883.0,508.0,586.4,668.8,793.0,460.5,603.3,858.0,928.8,,,,,,,,,,,,
NAGAR,BHARATPUR,27026' N,27.0,26.0,77005' E,77.0,5.0,27.288888888888888,77.05555555555556,626.0,681.0,744.0,648.0,689.0,423.0,424.0,546.6,570.0,706.0,216.0,448.0,347.0,454.0,402.0,729.0,1277.0,942.0,645.0,523.1,623.5,221.0,518.0,413.5,464.0,331.0,307.0,516.0,529.0,741.0,680.2,549.4,460.0,281.4,543.4,1058.0,575.0,811.4,452.0,612.0,549.5,852.4,632.0,616.8,566.7,1274.7,,,,,,,,,,,,
PAHARI,BHARATPUR,27042' N,27.0,42.0,77005'E,77.0,5.0,27.466666666666665,77.05555555555556,530.0,531.0,669.0,390.0,645.0,513.0,266.0,590.0,525.0,791.0,391.0,528.0,281.0,431.0,646.0,548.0,1174.0,619.0,306.0,570.0,344.0,333.0,465.9,284.4,405.4,197.4,232.7,476.4,618.3,765.3,399.9,396.9,430.6,201.7,367.6,801.5,591.1,338.8,357.9,507.3,496.7,785.6,554.2,570.7,245.1,809.0,,,,,,,,,,,,
RUPWAS,BHARATPUR,27000' N,27.0,0.0,77035' E,77.0,35.0,27.0,77.38888888888889,801.0,674.0,905.0,459.0,735.0,524.0,670.0,670.0,640.0,680.0,422.0,448.0,388.0,812.5,752.0,491.0,892.0,819.0,413.0,401.0,586.0,292.0,453.3,230.8,340.6,362.5,351.0,493.0,450.2,657.0,584.2,465.4,449.4,337.7,681.1,968.9,865.6,684.9,587.0,790.5,584.0,1025.0,658.4,532.5,594.8,756.9,,,,,,,,,,,,
WEIR,BHARATPUR,27001' N,27.0,1.0,77010' E,77.0,10.0,27.011111111111113,77.11111111111111,709.0,787.0,709.0,621.0,848.0,456.0,296.0,654.0,582.0,759.3,369.0,777.0,428.0,655.0,631.0,535.0,956.4,926.0,719.0,545.0,719.5,335.0,490.0,337.0,446.0,245.0,183.0,358.2,306.0,569.0,442.7,373.8,698.0,197.0,633.0,607.0,718.0,788.0,428.7,560.0,727.8,961.0,502.0,685.2,402.6,1089.6,,,,,,,,,,,,
AJAN BUNDH *,BHARATPUR,27009' N,27.0,9.0,77032' E,77.0,32.0,27.1,77.35555555555555,810.0,802.0,394.0,312.0,640.0,248.0,418.6,451.0,481.2,896.0,345.0,557.0,122.4,289.0,691.0,430.0,911.0,1152.0,535.0,433.0,497.6,441.2,464.0,357.0,708.0,241.0,263.0,362.6,582.4,,1096.0,264.5,509.0,271.5,529.2,363.4,759.0,955.0,514.0,317.9,482.0,899.3,459.7,633.6,372.3,660.2,,,,,,,,,,,,
SEWAR BUNDH *,BHARATPUR,27015' N,27.0,15.0,77020' E,77.0,20.0,27.166666666666668,77.22222222222223,734.0,469.0,502.0,430.0,660.0,309.0,224.0,470.0,413.0,739.0,374.0,592.0,210.0,302.0,28.0,462.0,,860.0,505.0,409.0,393.0,360.6,431.0,220.6,507.0,231.0,162.0,,,,733.0,293.0,459.0,297.0,579.0,761.2,944.0,830.0,527.0,547.2,550.0,753.0,605.0,448.2,481.6,408.9,,,,,,,,,,,,
ASIND,BHILWARA,250 44' N,25.0,44.0,740 20' E,74.0,20.0,25.488888888888887,74.22222222222223,585.0,568.0,466.0,418.0,324.0,450.0,232.0,525.0,475.0,321.0,232.0,645.0,255.0,304.0,385.0,551.0,553.0,435.0,574.0,190.0,503.0,342.1,564.9,365.8,427.0,163.2,288.0,295.2,363.4,688.7,376.5,337.0,411.0,430.1,446.3,419.0,806.6,686.0,308.5,668.1,391.1,454.0,619.8,424.6,434.0,794.7,,311.0,442.0,401.0,498.0,700.0,367.0,,621.0,441.0,,
BANERA,BHILWARA,250 30' N,25.0,30.0,740 40' E,74.0,40.0,25.333333333333332,74.44444444444444,687.0,681.0,846.0,243.0,521.0,385.0,288.0,505.0,1179.0,438.0,288.0,710.0,560.0,594.0,511.0,804.0,807.0,478.0,1079.0,396.0,554.0,620.0,888.2,808.5,390.0,438.0,473.0,662.0,568.0,971.0,643.0,513.0,439.0,589.0,639.0,661.0,798.0,787.8,584.0,948.0,523.7,613.5,757.5,545.3,404.6,560.3,,424.0,452.0,450.0,338.0,1127.0,323.0,,906.0,609.0,,
BHILWARA,BHILWARA,250 21' N,25.0,21.0,740 38' E,74.0,38.0,25.233333333333334,74.42222222222222,656.0,730.0,637.0,307.0,653.2,475.0,317.0,450.0,922.0,493.5,317.0,684.0,452.0,580.0,455.2,782.2,925.2,641.7,1051.0,337.5,796.0,856.0,888.2,799.4,683.5,457.0,591.4,473.1,634.0,899.3,937.9,469.0,360.6,565.0,766.1,950.2,944.0,824.5,651.2,1011.4,602.6,597.3,868.5,591.8,427.4,837.6,,370.0,519.0,503.0,481.0,830.0,428.0,,715.0,455.0,,
HURDA,BHILWARA,250 55' N,25.0,55.0,740 41' E,74.0,41.0,25.61111111111111,74.45555555555555,550.0,676.0,914.0,217.0,417.0,581.0,214.0,461.0,548.0,624.0,214.0,556.0,359.0,204.0,326.0,425.0,550.2,382.0,802.0,534.0,774.0,701.0,1060.0,355.0,694.0,548.0,579.0,307.4,342.4,669.6,508.3,296.0,470.3,515.0,465.4,378.4,727.3,616.5,716.8,726.2,306.7,482.7,696.6,452.0,274.4,527.7,,336.0,546.0,409.0,560.0,968.0,431.0,,635.0,740.0,,
JAHAJPUR,BHILWARA,250 36' N,25.0,36.0,750 17' E,75.0,17.0,25.4,75.18888888888888,571.0,1004.0,735.0,369.0,535.0,588.0,312.0,550.0,852.0,695.0,312.0,833.0,574.0,613.0,509.0,887.0,883.0,505.0,787.0,701.0,578.0,718.0,636.0,889.0,780.0,552.0,922.0,590.0,587.0,857.0,838.0,502.0,490.0,807.0,624.5,624.5,717.5,806.2,794.0,644.0,919.6,332.4,578.3,706.8,619.0,323.2,,562.0,527.0,728.0,615.0,941.0,508.0,,988.0,645.0,,
KOTRI,BHILWARA,250 25' N,25.0,25.0,740 54' E,74.0,54.0,25.27777777777778,74.6,700.0,903.0,882.0,308.0,911.0,598.0,392.0,514.0,1331.0,512.0,392.0,780.0,518.0,566.0,423.0,554.0,1569.0,574.0,1155.0,449.0,757.0,674.0,946.0,906.0,661.0,567.0,842.0,483.0,905.0,804.0,989.0,530.0,385.0,666.5,554.0,711.0,787.0,1103.5,640.0,896.0,406.1,579.9,858.7,798.3,368.4,79.7,,265.0,852.0,589.0,534.0,1160.0,703.0,,982.0,708.0,,
MANDAL,BHILWARA,250 29' N,25.0,29.0,740 35' E,74.0,35.0,25.322222222222223,74.38888888888889,708.0,632.0,663.0,319.0,591.0,442.0,268.0,390.0,841.0,535.0,268.0,671.0,416.0,427.0,417.0,665.0,820.0,520.0,982.0,368.0,502.5,639.0,749.0,853.0,452.0,390.0,506.0,381.0,458.0,684.0,632.0,429.6,369.6,592.3,506.8,745.0,741.0,776.5,514.3,870.4,450.3,602.2,840.2,482.8,397.1,499.1,,329.0,592.0,337.0,451.0,699.0,428.0,,539.0,373.0,,
MANDALGARH,BHILWARA,250 13' N,25.0,13.0,750 06' E,75.0,6.0,25.144444444444446,75.06666666666666,680.0,883.0,830.0,465.0,67.0,885.0,411.0,594.0,875.0,914.0,411.0,683.0,602.0,641.0,402.0,753.0,979.0,757.0,1414.0,849.0,960.0,786.0,940.0,787.0,670.0,586.0,1080.0,609.0,754.0,740.0,924.0,499.0,519.0,706.0,727.0,841.0,1034.0,712.0,776.0,1022.0,650.0,533.9,649.8,749.2,663.7,757.2,,575.0,902.0,535.0,580.0,1086.0,578.0,,640.0,504.0,,
RAIPUR,BHILWARA,250 24' N,25.0,24.0,740 10' E,74.0,10.0,25.266666666666666,74.11111111111111,778.0,722.0,657.0,417.0,416.0,373.0,291.0,713.5,487.2,492.0,291.0,573.8,311.3,460.0,410.2,535.9,831.8,520.9,798.0,415.8,559.3,482.0,805.6,528.0,656.8,312.0,522.0,380.5,401.0,785.0,750.2,501.4,473.0,815.0,572.0,652.0,865.4,796.6,350.7,1147.3,320.0,482.7,696.6,452.0,274.4,527.7,,317.0,476.0,164.0,353.0,614.0,593.0,,613.0,443.0,,
SHAHPURA,BHILWARA,250 37' N,25.0,37.0,740 56' E,74.0,56.0,25.41111111111111,74.62222222222222,635.0,680.0,636.0,460.0,606.0,596.0,283.0,556.0,1044.0,575.0,283.0,618.0,357.0,506.0,399.0,652.5,986.0,456.5,870.0,526.0,560.0,52.0,728.0,738.0,646.0,484.0,667.0,537.0,526.0,660.0,723.0,293.0,427.0,630.4,516.0,717.5,806.2,794.0,644.0,919.6,332.4,578.3,706.8,619.0,323.2,612.1,,417.0,489.0,478.0,566.0,818.0,518.0,,827.0,524.0,,
BIJOLIA,BHILWARA,250 11' N,25.0,11.0,750 22'E,75.0,22.0,25.122222222222224,75.24444444444444,875.0,767.0,880.0,552.0,729.0,474.0,487.0,602.0,1161.0,796.0,487.0,1012.0,746.0,630.2,673.0,1071.0,1056.0,941.0,1164.0,947.0,697.3,1025.0,1220.0,888.0,602.0,790.0,1012.0,515.0,790.0,769.0,975.0,455.0,448.0,696.0,859.0,799.8,1069.6,787.0,635.0,889.0,,,,,,,,,,,,,,,,,,
SAHADA,BHILWARA,250 11' N,25.0,11.0,740 14'E,74.0,14.0,25.122222222222224,74.15555555555555,597.0,573.0,772.0,496.0,458.0,564.0,272.0,767.0,643.0,574.0,272.0,674.0,446.0,465.0,389.0,670.0,935.0,338.0,733.0,279.0,797.0,586.0,639.0,912.0,832.0,397.0,617.0,527.0,586.0,703.0,674.0,492.0,518.0,663.0,572.0,716.0,903.6,830.6,555.7,1226.0,425.3,453.1,755.3,482.6,,,,,,,,,350.0,,888.0,684.0,,
BIKANER,BIKANER,28001' N,28.0,1.0,73018' E,73.0,18.0,28.011111111111113,73.2,343.0,356.0,409.0,293.5,254.0,362.0,277.0,313.0,97.0,245.0,32.0,206.0,147.0,188.0,328.0,437.0,297.0,329.0,314.0,227.0,336.0,159.2,233.8,234.0,217.6,188.0,296.2,137.0,117.0,482.2,337.0,347.8,147.0,221.9,340.1,358.0,236.0,335.9,286.0,197.0,177.0,240.9,266.8,114.2,45.8,321.3,,161.4,239.7,86.5,291.8,334.0,160.5,160.5,207.9,176.4,,
LUNKARANSAR,BIKANER,28030' N,28.0,30.0,73045' E,73.0,45.0,28.333333333333332,73.5,558.0,549.0,783.0,416.0,545.0,340.0,207.0,339.0,106.0,396.0,64.0,263.0,564.0,156.0,439.0,595.0,331.0,425.0,112.0,122.0,260.0,109.0,270.0,159.0,196.0,175.0,213.0,127.0,122.0,448.0,434.0,262.0,241.0,223.0,580.0,487.2,462.0,317.0,136.0,308.2,161.9,126.0,328.3,219.47,92.4,278.5,,192.6,269.5,96.5,262.3,292.3,261.5,261.5,360.1,263.0,,
MAGRA ( KOT.),BIKANER,28021' N,28.0,21.0,73030' E,73.0,30.0,28.233333333333334,73.33333333333333,419.0,259.0,386.0,204.0,334.0,324.3,223.8,276.0,85.3,384.7,60.6,459.0,202.0,368.0,519.0,894.0,540.0,283.0,426.0,246.0,444.0,89.0,192.0,333.0,144.0,188.0,,,,476.0,335.0,108.3,177.9,299.2,,286.9,336.0,270.4,159.1,240.6,175.0,120.5,393.0,179.0,80.5,,,116.3,,,158.5,,184.5,184.5,140.5,143.0,,
SURPURA ( NOKHA ),BIKANER,27035' N,27.0,35.0,73029' E,73.0,29.0,27.38888888888889,73.32222222222222,370.0,480.0,495.0,157.0,314.0,422.0,227.0,224.0,205.0,392.0,71.0,270.0,310.0,351.0,234.0,541.0,616.0,242.0,335.0,267.0,500.0,79.0,478.0,342.0,333.0,145.0,183.0,,,601.0,365.0,234.1,197.5,251.4,,466.5,264.6,769.4,243.1,359.3,227.2,425.2,350.4,207.0,157.0,,,154.0,541.0,,332.6,334.0,188.1,188.1,305.2,232.9,,
BUNDI,BUNDI,"250 27"" N",25.0,27.0,"750 38"" E",75.0,38.0,25.3,75.42222222222222,736.0,750.0,662.0,575.0,602.0,748.5,707.0,545.8,848.0,754.0,275.5,824.0,606.0,565.0,536.0,899.0,1254.5,563.5,792.6,662.6,502.5,488.1,851.1,491.7,549.2,596.4,975.0,568.0,951.0,757.0,1020.0,407.0,375.0,738.0,808.0,779.0,983.0,775.0,813.0,751.0,532.0,1096.1,603.0,537.0,535.0,845.7,,606.8,662.4,660.0,676.3,961.5,492.3,492.3,1038.6,820.1,,
HINDOLI,BUNDI,"250 35"" N",25.0,35.0,"750 30"" E",0.0,30.0,25.38888888888889,0.33333333333333337,627.0,792.0,776.0,293.0,565.0,511.0,572.0,472.0,625.0,1176.0,506.0,810.4,507.0,589.0,541.2,596.0,840.0,559.0,848.0,410.0,389.0,552.0,722.3,524.0,351.0,285.0,721.7,278.7,383.8,380.7,682.5,632.4,532.0,848.0,665.8,794.1,928.0,831.6,868.3,966.0,408.0,847.0,416.0,753.0,516.0,590.5,,501.8,498.8,689.4,452.3,770.7,620.0,620.0,959.0,1007.0,,
KESHORAIPATAN,BUNDI,"250 18"" N",25.0,18.0,"750 57"" E",75.0,57.0,25.2,75.63333333333334,602.0,765.0,678.0,557.0,824.0,527.0,631.0,677.0,484.0,453.0,334.5,766.5,651.0,726.0,513.0,750.8,739.0,678.5,753.5,870.8,616.7,768.5,541.4,594.0,748.0,488.0,,575.5,474.5,457.5,645.0,458.0,361.7,585.2,741.0,846.0,923.0,954.0,1038.0,863.0,118.0,1431.6,756.0,847.0,465.0,941.0,,354.7,491.0,882.0,913.6,1174.6,965.3,965.3,949.0,923.0,,
NAINWA,BUNDI,"250 46"" N",25.0,46.0,"750 51"" E",75.0,51.0,25.511111111111113,75.56666666666666,561.0,873.0,568.0,323.0,455.0,708.0,498.5,540.0,503.0,371.0,260.2,568.0,679.6,631.6,395.1,729.7,491.1,602.2,712.3,437.0,532.0,509.0,384.0,186.0,330.0,252.0,362.0,378.0,295.2,573.0,526.0,735.0,434.0,724.0,793.0,1020.0,828.0,1135.0,922.0,1088.0,445.0,964.0,354.8,839.7,297.8,746.3,,329.0,499.0,782.6,637.6,770.0,399.0,399.0,815.0,931.4,,
TALERA,BUNDI,"250 19"" N",25.0,19.0,"750 44"" E",75.0,44.0,25.211111111111112,75.4888888888889,591.0,931.6,732.0,447.0,534.0,592.0,790.0,506.0,544.0,593.0,269.0,990.0,527.0,622.0,445.0,748.7,863.6,864.8,744.8,777.0,595.8,152.2,1241.0,476.0,460.0,569.0,649.2,539.5,520.0,508.5,828.0,428.0,444.0,563.0,789.0,751.0,616.0,674.0,719.5,807.7,517.8,973.0,474.0,469.0,516.0,905.0,,441.0,407.0,614.0,841.7,1009.4,596.4,596.4,803.0,787.0,,
INDARGARH,BUNDI,"250 43"" N",25.0,43.0,"760 12"" E",76.0,12.0,25.477777777777778,76.13333333333334,472.9,936.8,505.3,374.0,871.0,560.0,551.5,691.1,978.0,808.0,472.0,794.0,459.0,837.0,819.0,919.5,1231.5,1230.7,1221.8,633.4,803.4,1173.5,,459.3,722.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARISADARI,CHITTORGARH,"240 25"" N",24.0,25.0,"740 29"" E",74.0,29.0,24.27777777777778,74.32222222222222,902.0,887.0,569.0,429.0,938.0,489.0,1253.0,557.0,1035.0,511.0,,869.0,424.0,543.0,635.0,710.0,1024.0,601.0,873.0,669.0,761.0,727.0,1109.0,960.0,711.0,672.0,635.0,750.0,738.0,1083.0,771.0,742.0,870.0,825.0,949.0,740.0,948.0,881.0,914.2,1441.0,559.0,821.0,857.0,890.0,808.0,800.0,,612.7,483.4,745.7,853.4,1328.0,673.8,673.8,934.8,575.9,,
BEGUN,CHITTORGARH,"240 59"" N",24.0,59.0,"750 08"" E",75.0,8.0,24.655555555555555,75.08888888888889,773.0,1041.0,1788.0,512.0,1267.0,866.0,1446.0,992.0,966.0,723.0,,694.0,486.6,838.0,581.0,661.0,1127.9,801.0,1296.0,807.0,673.0,824.0,963.0,819.5,411.7,549.0,1358.0,665.0,657.0,704.0,835.0,416.0,580.0,729.0,809.0,652.0,1072.0,765.0,719.6,1134.0,620.5,860.3,807.3,1011.6,798.5,702.6,,391.7,722.0,669.6,624.7,1009.2,625.4,625.4,742.7,600.0,,
BHADESAR,CHITTORGARH,"240 41"" N",24.0,41.0,"740 30"" E",74.0,30.0,24.455555555555556,74.33333333333333,1156.0,935.0,1080.0,998.0,774.0,597.0,1085.0,850.0,885.0,611.0,,660.0,419.0,548.0,478.0,714.0,1045.0,356.0,673.0,597.0,750.0,667.0,872.0,814.0,516.0,561.0,676.0,572.0,696.0,896.0,706.0,587.0,644.0,695.0,779.0,660.0,948.0,881.0,583.1,1229.0,370.0,661.3,631.6,739.3,665.8,699.4,,526.0,610.0,651.0,705.0,946.0,511.0,511.0,794.0,597.0,,
CHITTORGARH,CHITTORGARH,"240 53"" N",24.0,53.0,"740 38"" E",74.0,38.0,24.58888888888889,74.42222222222222,837.5,817.5,867.0,677.0,1055.0,628.0,1072.0,836.0,937.0,818.0,,764.6,570.4,1005.8,512.6,605.5,1095.6,596.3,981.5,529.4,819.7,952.2,1058.1,829.0,811.0,663.0,782.0,552.0,650.0,798.0,810.6,576.0,748.0,832.0,762.0,831.0,963.0,1265.0,750.0,1330.0,612.0,670.0,842.0,916.0,801.0,784.9,,389.7,671.7,684.3,630.9,1062.6,592.0,592.0,741.0,652.0,,
