Station Name,District,Longitude,Unnamed: 4,Unnamed: 5,Latitude ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,Unnamed: 68,Unnamed: 69
NASIRABAD,AJMER ,260 17' N,26.0,17.0,740 44' E,74.0,44.0,26.18888888888889,74.4888888888889,815.0,912.0,820.0,303.0,798.0,446.0,597.0,479.0,580.0,497.0,323.0,621.0,509.0,0.0,787.0,982.0,1082.0,,727.0,550.0,628.0,507.0,752.0,395.0,341.0,147.0,208.0,275.0,310.0,786.8,365.0,2347.0,241.6,535.7,419.5,677.0,562.0,688.9,515.7,408.8,243.9,335.2,351.0,93.0,101.0,388.0,0.0,0.0,302.2,73.9,173.5,0.0,216.5,216.5,578.2,481.5,,
PISANGAN,AJMER ,260 24' N,26.0,24.0,740 23' E,74.0,23.0,26.266666666666666,74.25555555555556,607.0,582.0,819.0,127.0,361.0,393.0,300.5,507.0,306.0,393.0,142.0,669.0,403.0,0.0,466.0,683.0,680.0,,421.0,292.0,256.0,228.0,424.0,422.0,299.6,158.0,170.2,325.0,421.0,925.0,441.3,520.0,478.0,844.8,490.0,631.0,630.0,217.0,78.2,0.0,,344.7,379.8,167.5,233.0,372.1,0.0,351.0,478.0,181.0,211.8,0.0,291.3,291.3,235.3,291.5,,
PUSHKAR,AJMER ,260 30' N,26.0,30.0,740 33' E,74.0,33.0,26.333333333333332,74.36666666666666,665.0,468.0,1167.0,280.0,704.0,452.5,525.0,664.0,441.0,1049.0,239.0,647.0,553.0,0.0,390.0,901.0,908.0,,558.0,164.0,225.0,29.0,288.0,248.2,648.0,38.0,379.8,421.0,498.0,893.0,244.8,517.0,387.0,699.0,419.0,608.0,624.0,551.7,244.4,387.3,175.7,448.5,316.6,97.5,59.0,392.4,0.0,224.8,493.3,209.8,286.6,0.0,446.5,446.5,217.8,509.0,,
SAWAR,AJMER ,260 04' N,26.0,4.0,750 01' E,75.0,1.0,26.044444444444444,75.0111111111111,532.5,931.0,541.0,317.0,507.0,439.0,529.0,427.0,957.5,400.0,172.0,599.0,515.0,0.0,421.0,617.8,777.0,,463.0,590.0,439.0,466.0,555.5,544.0,253.0,197.0,492.0,439.0,,546.0,540.0,295.6,498.5,415.0,521.0,669.0,814.3,755.0,589.9,834.2,185.5,531.0,517.0,426.0,410.0,647.4,0.0,376.8,271.0,283.9,210.6,0.0,170.1,170.1,140.2,381.2,,
SARWAR,AJMER ,250 45' N,25.0,45.0,750 13' E,75.0,13.0,25.5,75.14444444444445,603.5,767.0,733.0,582.0,786.0,393.0,536.0,471.0,610.0,444.0,258.0,520.0,388.0,0.0,404.0,579.0,843.0,,806.0,478.0,554.0,371.0,413.0,492.0,448.2,326.0,187.0,411.0,373.0,681.0,698.0,498.8,427.0,415.0,642.0,568.5,559.0,876.0,685.0,892.3,243.0,568.0,588.0,551.0,306.6,589.6,0.0,809.8,345.1,443.5,319.4,0.0,302.1,302.1,645.9,574.9,,
SRINAGAR,AJMER ,260 26' N,26.0,26.0,740 46'E,74.0,46.0,26.288888888888888,74.5111111111111,551.0,593.0,399.5,89.0,477.7,301.0,117.0,153.0,215.0,349.0,81.0,273.0,238.0,0.0,476.0,602.0,727.0,,612.0,235.0,525.0,188.0,584.0,442.0,446.0,0.0,363.0,288.0,418.0,858.0,550.0,524.0,358.5,600.0,410.0,431.0,1731.0,775.7,495.0,291.5,174.3,331.8,364.8,38.0,217.3,398.6,0.0,427.0,387.0,519.9,278.7,0.0,296.7,296.7,537.9,590.8,,
TATGARH,AJMER ,250 41' N,25.0,41.0,730 58' E,73.0,58.0,25.455555555555556,73.64444444444445,827.0,663.5,580.2,218.0,306.0,376.0,689.0,689.0,433.0,463.0,239.0,568.0,256.5,0.0,401.2,716.0,653.0,,831.0,245.0,805.0,476.0,584.0,443.0,598.0,0.0,236.0,412.0,386.0,828.0,734.0,503.7,333.0,658.0,444.4,85.0,566.0,914.0,423.0,811.4,352.0,257.0,758.2,425.7,305.5,788.3,0.0,539.9,598.1,436.5,166.5,0.0,178.8,178.8,102.9,280.2,,
VIJAYNAGAR,AJMER ,250 55' N,25.0,55.0,740 35' E,74.0,35.0,25.61111111111111,74.38888888888889,513.0,561.0,639.0,178.0,324.0,601.0,575.0,466.0,429.0,520.0,271.0,618.0,443.0,0.0,400.0,430.0,648.0,,634.0,69.0,452.5,73.0,649.0,478.0,366.4,360.0,225.0,291.0,,628.0,516.0,289.0,325.0,285.0,414.0,335.0,588.0,653.0,420.0,349.5,232.8,35.8,672.6,392.4,167.2,3469.6,0.0,304.5,283.4,318.7,133.0,0.0,107.8,107.8,,,,
MASUDA,AJMER ,260 07' N,26.0,7.0,740 32' E,74.0,32.0,26.07777777777778,74.35555555555555,572.0,667.8,606.6,208.0,373.0,264.0,795.0,678.5,776.0,419.5,158.0,484.0,253.0,0.0,471.0,1200.0,893.0,,958.0,245.0,460.0,241.0,565.0,0.0,446.0,118.5,317.8,363.0,412.0,764.0,347.0,392.0,432.0,255.0,393.0,455.0,961.0,1012.0,370.0,837.0,291.0,535.4,814.0,200.3,339.3,398.7,0.0,356.2,395.0,132.5,,0.0,,,,,,
ALWAR,ALWAR,27034' N,27.0,34.0,76036' E,76.0,36.0,27.377777777777776,76.4,1107.0,813.0,857.0,581.0,1024.0,655.0,594.0,658.0,420.0,834.0,322.0,535.0,731.7,469.3,734.3,695.4,1445.1,749.5,509.0,630.8,665.0,319.0,319.0,332.4,677.4,223.8,315.9,763.5,553.3,899.8,476.0,506.9,419.7,452.5,705.0,884.3,813.6,884.3,577.8,629.0,589.3,886.4,786.9,1063.9,463.9,974.7,,415.9,415.9,415.9,415.9,783.7,705.4,705.4,973.1,789.4,,
